ID_cliente,churn,genero,senior,parceiro,dependentes,tempo_permanencia,servico_telefone,multiplas_linhas,servico_internet,seguranca_online,backup_online,protecao_dispositivo,suporte_tecnico,streaming_TV,streaming_filmes,contrato,fatura_online,metodo_pagamento,gastos_diarios,gastos_mensais,gastos_totais
0023-XUOPT,1,1,0,1,0,13,1,1,Fibra Óptica,0,1,1,0,1,0,Mensal,0,Cheque eletrônico,3.1366666666666663,94.1,1215.6
0027-KWYKW,0,1,0,1,1,23,1,1,Fibra Óptica,0,0,0,0,1,0,Mensal,1,Cheque eletrônico,2.7916666666666665,83.75,1849.95
0030-FNXPP,0,1,0,0,0,3,1,0,Não,0,0,0,0,0,0,Mensal,0,Cheque,0.6616666666666667,19.85,57.2
0031-PVLZI,1,1,0,1,1,4,1,0,Não,0,0,0,0,0,0,Mensal,0,Cheque,0.6783333333333333,20.35,76.35
0032-PGELS,1,1,0,1,1,1,0,0,DSL,1,0,0,0,0,0,Mensal,0,Transferência bancária,1.0166666666666666,30.5,30.5
0036-IHMOT,0,1,0,1,1,55,1,0,Fibra Óptica,0,1,1,1,1,1,Um ano,1,Transferência bancária,3.4566666666666666,103.7,5656.75
0040-HALCW,0,0,0,1,1,54,1,0,Não,0,0,0,0,0,0,Dois anos,0,Cartão de crédito,0.6799999999999999,20.4,1090.6
0042-JVWOJ,0,0,0,0,0,26,1,0,Não,0,0,0,0,0,0,Um ano,1,Transferência bancária,0.6533333333333334,19.6,471.85
0042-RLHYP,0,1,0,1,1,69,1,0,Não,0,0,0,0,0,0,Dois anos,0,Transferência bancária,0.6566666666666666,19.7,1396.9
0048-LUMLS,0,0,0,1,1,37,1,0,Fibra Óptica,0,0,0,0,1,1,Um ano,0,Cartão de crédito,3.04,91.2,3247.55
0048-PIHNL,0,1,0,1,0,49,1,0,Não,0,0,0,0,0,0,Um ano,0,Transferência bancária,0.6816666666666666,20.45,900.9
0052-DCKON,0,0,0,1,0,66,1,1,Fibra Óptica,1,1,1,1,1,1,Um ano,0,Transferência bancária,3.86,115.8,7942.15
0052-YNYOT,0,1,0,0,0,67,1,0,Não,0,0,0,0,0,0,Um ano,0,Cheque eletrônico,0.685,20.55,1343.4
0056-EPFBG,0,0,0,1,1,20,0,0,DSL,1,0,1,1,0,0,Dois anos,1,Cartão de crédito,1.3133333333333332,39.4,825.4
0057-QBUQH,0,1,0,0,1,43,1,1,Não,0,0,0,0,0,0,Dois anos,1,Cheque eletrônico,0.8366666666666667,25.1,1070.15
0058-EVZWM,0,1,0,1,0,55,1,1,Fibra Óptica,1,0,0,0,1,0,Mensal,1,Transferência bancária,2.993333333333333,89.8,4959.6
0060-FUALY,0,1,0,1,0,59,1,1,Fibra Óptica,1,1,0,0,1,0,Mensal,1,Cheque eletrônico,3.158333333333333,94.75,5597.65
0064-SUDOG,0,1,0,1,1,12,1,0,Não,0,0,0,0,0,0,Dois anos,0,Transferência bancária,0.6766666666666666,20.3,224.5
0064-YIJGF,0,0,0,1,1,27,1,1,Fibra Óptica,0,0,0,0,0,0,Mensal,1,Transferência bancária,2.525,75.75,1929.0
0067-DKWBL,1,0,1,0,0,2,1,0,DSL,1,0,0,0,0,0,Mensal,1,Cheque eletrônico,1.6416666666666666,49.25,91.1
0068-FIGTF,0,1,0,0,0,27,1,0,DSL,0,1,1,1,1,1,Um ano,0,Cheque,2.606666666666667,78.2,2078.95
0071-NDAFP,0,0,0,1,1,25,1,1,Não,0,0,0,0,0,0,Dois anos,0,Cartão de crédito,0.85,25.5,630.6
0074-HDKDG,0,0,0,1,1,25,1,0,DSL,1,1,1,0,0,0,Um ano,1,Transferência bancária,2.0533333333333332,61.6,1611.0
0076-LVEPS,0,0,0,0,1,29,0,0,DSL,1,1,1,1,0,0,Mensal,1,Cheque,1.5,45.0,1242.45
0078-XZMHT,0,0,0,1,0,72,1,1,DSL,0,1,1,1,1,1,Dois anos,1,Transferência bancária,2.8383333333333334,85.15,6316.2
0080-EMYVY,0,1,0,0,0,14,1,0,DSL,0,1,0,0,0,0,Um ano,0,Cartão de crédito,1.715,51.45,727.85
0080-OROZO,0,1,0,0,0,35,1,0,Fibra Óptica,0,0,1,1,1,1,Um ano,1,Cheque eletrônico,3.308333333333333,99.25,3532.0
0082-LDZUE,0,0,0,0,0,1,1,0,DSL,0,0,0,0,0,0,Mensal,1,Cheque,1.4766666666666666,44.3,44.3
0082-OQIQY,0,0,0,0,0,29,1,0,Fibra Óptica,0,0,0,1,1,1,Mensal,1,Cheque eletrônico,3.14,94.2,2607.6
0083-PIVIK,0,0,0,0,0,64,1,1,DSL,1,1,1,1,1,0,Um ano,0,Cheque eletrônico,2.7083333333333335,81.25,5567.55
0089-IIQKO,0,1,0,1,1,39,1,1,Fibra Óptica,0,0,0,1,1,1,Mensal,1,Cartão de crédito,3.3316666666666666,99.95,3767.4
0093-EXYQL,0,1,1,0,0,40,1,0,Fibra Óptica,0,0,0,0,1,1,Mensal,1,Cheque eletrônico,3.0516666666666667,91.55,3673.6
0093-XWZFY,1,0,0,0,0,40,1,1,Fibra Óptica,0,1,1,0,1,1,Mensal,1,Cartão de crédito,3.4833333333333334,104.5,4036.85
0094-OIFMO,1,1,1,0,0,11,1,0,Fibra Óptica,0,1,0,0,1,1,Mensal,1,Cheque eletrônico,3.1666666666666665,95.0,1120.3
0096-BXERS,0,1,0,1,0,6,1,1,DSL,0,0,0,0,0,0,Mensal,0,Cheque eletrônico,1.6783333333333335,50.35,314.55
0096-FCPUF,0,0,0,0,0,30,1,1,DSL,1,0,0,0,0,1,Mensal,1,Cheque,2.15,64.5,1888.45
0098-BOWSO,0,0,0,0,0,27,1,0,Não,0,0,0,0,0,0,Mensal,1,Cheque eletrônico,0.6466666666666666,19.4,529.8
0100-DUVFC,0,0,1,1,0,70,1,1,Fibra Óptica,0,1,1,0,1,1,Um ano,1,Cheque eletrônico,3.493333333333333,104.8,7308.95
0103-CSITQ,0,1,0,1,0,57,1,1,Fibra Óptica,0,1,1,1,1,1,Um ano,1,Transferência bancária,3.646666666666667,109.4,6252.7
0104-PPXDV,0,0,0,1,0,58,1,0,DSL,0,0,1,0,0,0,Um ano,0,Cartão de crédito,1.6766666666666665,50.3,2878.55
0106-GHRQR,0,0,0,0,0,16,1,1,DSL,0,1,1,0,0,1,Mensal,1,Transferência bancária,2.3800000000000003,71.4,1212.1
0106-UGRDO,0,1,0,1,0,69,1,1,Fibra Óptica,1,1,1,1,1,1,Dois anos,1,Cheque eletrônico,3.8666666666666667,116.0,8182.85
0107-WESLM,1,0,0,0,0,1,1,0,Não,0,0,0,0,0,0,Mensal,1,Cheque eletrônico,0.6616666666666667,19.85,19.85
0107-YHINA,1,0,0,0,1,1,1,1,Fibra Óptica,0,0,1,0,1,1,Mensal,1,Cheque eletrônico,3.325,99.75,99.75
0111-KLBQG,0,0,1,1,1,32,1,0,Fibra Óptica,0,1,0,0,1,1,Mensal,1,Cheque,3.131666666666667,93.95,2861.45
0112-QAWRZ,0,0,0,1,1,16,1,1,Fibra Óptica,0,0,1,0,1,0,Mensal,1,Transferência bancária,3.0266666666666664,90.8,1442.2
0112-QWPNC,1,0,0,1,0,49,1,1,DSL,1,0,1,1,1,1,Um ano,0,Cheque eletrônico,2.8116666666666665,84.35,4059.35
0114-IGABW,0,1,0,1,0,71,0,0,DSL,0,1,1,1,1,1,Dois anos,0,Transferência bancária,1.9416666666666667,58.25,4145.9
0114-PEGZZ,0,1,0,0,0,33,1,1,Fibra Óptica,0,1,1,0,1,1,Mensal,0,Cheque eletrônico,3.585,107.55,3645.5
0114-RSRRW,0,1,0,1,0,10,1,0,Não,0,0,0,0,0,0,Mensal,1,Transferência bancária,0.6649999999999999,19.95,187.75
0115-TFERT,1,0,0,1,0,21,1,1,Fibra Óptica,0,1,1,1,1,1,Mensal,1,Cheque eletrônico,3.7066666666666666,111.2,2317.1
0117-LFRMW,1,0,0,1,1,37,0,0,DSL,1,1,1,0,0,0,Mensal,0,Transferência bancária,1.34,40.2,1448.8
0118-JPNOY,0,1,1,0,0,26,1,0,Fibra Óptica,1,0,0,0,1,0,Mensal,1,Cartão de crédito,2.86,85.8,2193.65
0121-SNYRK,0,0,0,0,0,50,0,0,DSL,1,0,0,1,0,0,Um ano,1,Cheque,1.18,35.4,1748.9
0122-OAHPZ,1,1,0,0,0,7,1,1,Fibra Óptica,0,0,0,0,0,0,Mensal,1,Cheque eletrônico,2.4616666666666664,73.85,511.25
0123-CRBRT,0,1,0,1,1,61,1,1,DSL,1,1,1,1,1,1,Dois anos,0,Cheque,2.9366666666666665,88.1,5526.75
0125-LZQXK,1,0,0,0,0,15,1,0,Fibra Óptica,0,0,1,1,1,1,Mensal,1,Cheque eletrônico,3.378333333333333,101.35,1553.95
0128-MKWSG,0,1,0,0,1,26,0,0,DSL,1,0,0,1,0,1,Mensal,0,Cheque,1.5266666666666666,45.8,1147.0
0129-KPTWJ,0,0,0,1,0,72,1,0,Fibra Óptica,0,0,1,0,1,1,Mensal,1,Cheque eletrônico,3.1550000000000002,94.65,6747.35
0129-QMPDR,0,0,0,1,1,44,1,0,Não,0,0,0,0,0,0,Um ano,1,Transferência bancária,0.6833333333333333,20.5,865.05
0130-SXOUN,0,0,0,0,0,66,1,1,Fibra Óptica,0,1,0,0,0,1,Mensal,0,Cartão de crédito,2.98,89.4,5976.9
0133-BMFZO,1,1,0,0,0,2,1,0,Fibra Óptica,1,1,0,1,0,0,Mensal,1,Cheque eletrônico,2.875,86.25,181.65
0134-XWXCE,0,1,1,0,0,44,1,0,DSL,0,0,1,1,1,1,Um ano,0,Transferência bancária,2.4949999999999997,74.85,3268.05
0135-NMXAP,1,1,0,0,0,12,1,1,Fibra Óptica,0,1,0,0,1,0,Mensal,1,Transferência bancária,2.9916666666666667,89.75,1052.4
0136-IFMYD,0,0,1,1,0,69,1,1,Fibra Óptica,0,1,1,1,1,1,Dois anos,1,Cheque eletrônico,3.665,109.95,7634.25
0137-OCGAB,1,1,0,0,0,1,1,1,Fibra Óptica,0,1,0,0,0,0,Mensal,1,Cheque,2.6733333333333333,80.2,80.2
0137-UDEUO,1,1,0,0,0,3,1,0,Não,0,0,0,0,0,0,Mensal,0,Cheque,0.6616666666666667,19.85,63.75
0139-IVFJG,0,1,0,1,0,2,1,0,Fibra Óptica,1,1,0,0,1,0,Mensal,0,Cheque eletrônico,3.0116666666666663,90.35,190.5
0141-YEAYS,0,1,1,0,0,27,1,1,Fibra Óptica,0,1,1,0,0,0,Mensal,1,Transferência bancária,2.881666666666667,86.45,2401.05
0142-GVYSN,0,0,0,0,0,26,1,0,Não,0,0,0,0,0,0,Mensal,1,Cheque eletrônico,0.6766666666666666,20.3,511.25
0147-ESWWR,0,1,1,1,0,39,1,1,Fibra Óptica,0,0,0,1,1,1,Mensal,1,Cheque eletrônico,3.375,101.25,3949.15
0148-DCDOS,1,0,0,0,0,25,1,1,Fibra Óptica,0,0,0,0,1,1,Mensal,1,Transferência bancária,3.1566666666666667,94.7,2362.1
0151-ONTOV,1,1,0,0,0,1,1,0,Fibra Óptica,0,0,0,0,0,0,Mensal,0,Cheque,2.3633333333333337,70.9,70.9
0156-FVPTA,1,0,0,1,0,22,1,0,DSL,1,0,0,1,0,0,Mensal,1,Cheque eletrônico,1.8066666666666669,54.2,1152.7
0164-APGRB,0,1,0,0,0,72,1,1,Fibra Óptica,1,1,1,1,1,1,Dois anos,1,Cheque eletrônico,3.83,114.9,8496.7
0164-XAIRP,0,1,0,0,0,24,1,0,Não,0,0,0,0,0,0,Dois anos,1,Transferência bancária,0.6516666666666667,19.55,470.2
0168-XZKBB,0,1,0,1,0,19,1,1,Fibra Óptica,0,0,0,0,1,0,Mensal,1,Cheque eletrônico,2.895,86.85,1564.4
0174-QRVVY,0,0,0,1,1,71,1,1,Não,0,0,0,0,0,0,Dois anos,0,Cartão de crédito,0.8450000000000001,25.35,1847.55
0177-PXBAT,0,0,1,1,0,33,1,1,Fibra Óptica,1,0,1,1,1,1,Mensal,1,Transferência bancária,3.6633333333333336,109.9,3694.7
0178-CIIKR,0,1,0,0,0,3,1,0,Não,0,0,0,0,0,0,Mensal,0,Cheque,0.6649999999999999,19.95,58.0
0178-SZBHO,0,0,0,1,1,47,1,1,Fibra Óptica,0,1,0,0,1,0,Mensal,0,Cheque eletrônico,2.9066666666666667,87.2,4017.45
0181-RITDD,0,0,0,1,1,62,1,0,Fibra Óptica,1,1,1,1,1,1,Dois anos,0,Cheque,3.605,108.15,6825.65
0186-CAERR,0,0,0,0,0,71,1,1,Fibra Óptica,1,1,1,1,1,1,Um ano,1,Transferência bancária,3.8766666666666665,116.3,8309.55
0187-QSXOE,0,0,1,1,0,7,1,0,Fibra Óptica,0,0,0,0,1,1,Mensal,1,Cheque eletrônico,2.966666666666667,89.0,605.45
0187-WZNAB,0,1,0,1,1,27,1,0,Fibra Óptica,1,0,0,0,0,0,Mensal,0,Cheque,2.48,74.4,1972.35
0188-GWFLE,0,0,0,0,0,2,1,0,Não,0,0,0,0,0,0,Mensal,0,Cheque,0.6683333333333333,20.05,33.7
0191-EQUUH,0,1,0,0,1,25,0,0,DSL,1,0,0,1,0,0,Dois anos,0,Transferência bancária,1.1683333333333332,35.05,844.45
0191-ZHSKZ,0,0,1,0,0,30,1,0,DSL,1,1,0,0,1,1,Mensal,1,Cheque eletrônico,2.4916666666666667,74.75,2111.3
0193-ESZXP,1,1,1,1,0,58,1,0,Fibra Óptica,1,1,0,1,1,1,Um ano,1,Cartão de crédito,3.5166666666666666,105.5,6205.5
0195-IESCP,1,0,0,1,0,10,1,1,Fibra Óptica,0,0,0,0,0,1,Mensal,1,Cheque eletrônico,2.841666666666667,85.25,855.3
0196-JTUQI,0,1,0,0,0,9,1,1,Fibra Óptica,0,0,0,0,0,0,Mensal,1,Cartão de crédito,2.506666666666667,75.2,633.85
0196-VULGZ,1,1,1,1,0,6,1,1,Fibra Óptica,0,0,0,0,0,1,Mensal,1,Cheque eletrônico,2.8116666666666665,84.35,474.9
0197-PNKNK,0,1,0,1,1,69,1,1,Fibra Óptica,1,0,1,0,0,0,Um ano,0,Transferência bancária,2.815,84.45,5848.6
0201-MIBOL,0,1,1,0,0,66,1,1,Fibra Óptica,1,0,0,0,1,1,Dois anos,1,Transferência bancária,3.4133333333333336,102.4,6471.85
0201-OAMXR,1,1,0,0,0,70,1,1,Fibra Óptica,1,1,1,1,1,1,Um ano,0,Cartão de crédito,3.8516666666666666,115.55,8127.6
0203-HHYIJ,1,0,0,0,0,25,1,1,Não,0,0,0,0,0,0,Um ano,0,Transferência bancária,0.8433333333333334,25.3,676.35
0206-OYVOC,0,1,0,1,1,46,1,0,Não,0,0,0,0,0,0,Dois anos,1,Cheque,0.6416666666666667,19.25,864.2
0206-TBWLC,0,1,0,1,0,54,1,1,Fibra Óptica,1,1,1,1,1,1,Um ano,1,Cheque,3.8216666666666668,114.65,6049.5
0207-MDKNV,1,1,0,0,0,15,1,0,Fibra Óptica,1,0,1,1,1,1,Mensal,0,Cheque eletrônico,3.503333333333333,105.1,1582.75
0208-BPQEJ,0,1,0,1,1,12,1,0,Não,0,0,0,0,0,0,Mensal,0,Transferência bancária,0.6466666666666666,19.4,198.1
0212-ISBBF,0,1,0,0,0,22,0,0,DSL,0,1,0,0,1,1,Mensal,1,Cheque eletrônico,1.6783333333333335,50.35,1098.85
0214-JHPFW,0,1,0,1,0,70,0,0,DSL,0,1,1,1,1,1,Dois anos,0,Transferência bancária,1.9266666666666665,57.8,4039.3
0215-BQKGS,0,0,0,0,0,30,1,0,Fibra Óptica,1,1,1,0,0,0,Mensal,1,Cartão de crédito,2.81,84.3,2438.6
0218-QNVAS,0,0,0,1,1,71,1,1,Fibra Óptica,0,1,0,0,1,1,Um ano,0,Transferência bancária,3.3516666666666666,100.55,7113.75
0219-QAERP,0,0,0,1,0,30,1,0,Não,0,0,0,0,0,0,Um ano,0,Cartão de crédito,0.66,19.8,576.65
0219-YTZUE,1,0,0,1,1,4,1,1,Fibra Óptica,0,1,1,0,0,0,Mensal,1,Transferência bancária,2.8266666666666667,84.8,371.9
0220-EBGCE,1,0,0,0,0,2,1,0,Fibra Óptica,0,0,1,0,0,1,Mensal,1,Cheque eletrônico,2.8616666666666664,85.85,167.3
0221-NAUXK,0,0,0,0,1,10,1,0,Não,0,0,0,0,0,0,Um ano,1,Transferência bancária,0.6649999999999999,19.95,219.5
0221-WMXNQ,0,0,1,0,0,4,1,0,Fibra Óptica,1,0,0,0,0,0,Mensal,0,Cheque eletrônico,2.5116666666666663,75.35,273.4
0222-CNVPT,0,0,1,0,0,52,0,0,DSL,1,0,0,0,1,1,Mensal,1,Cartão de crédito,1.6266666666666665,48.8,2555.05
0224-HJAPT,1,0,0,0,0,5,1,1,DSL,0,0,0,0,0,0,Mensal,0,Cheque eletrônico,1.5716666666666665,47.15,223.15
0224-NIJLP,0,0,0,1,1,8,1,0,Não,0,0,0,0,0,0,Dois anos,0,Cheque,0.6716666666666666,20.15,165.5
0224-RLWWD,0,1,1,0,0,2,1,0,DSL,0,0,0,0,0,0,Mensal,1,Cheque eletrônico,1.4766666666666666,44.3,89.3
0225-ZORZP,0,0,0,0,0,3,1,0,Fibra Óptica,0,1,0,0,0,1,Mensal,0,Cheque eletrônico,2.81,84.3,235.05
0228-MAUWC,0,0,0,0,0,19,1,1,DSL,0,0,1,1,0,0,Mensal,0,Cheque eletrônico,1.9849999999999999,59.55,1144.6
0229-LFJAF,0,0,0,0,0,72,1,1,DSL,1,1,1,1,0,0,Dois anos,0,Transferência bancária,2.3216666666666668,69.65,4908.25
0230-UBYPQ,0,0,1,1,0,63,0,0,DSL,1,0,0,1,0,0,Um ano,0,Transferência bancária,1.2033333333333334,36.1,2298.9
0230-WEQUW,0,0,0,1,0,66,0,0,DSL,1,1,1,1,1,0,Dois anos,1,Transferência bancária,1.8866666666666667,56.6,3789.2
0231-LXVAP,1,0,0,0,0,1,1,0,Fibra Óptica,0,0,0,1,0,0,Mensal,1,Cheque eletrônico,2.5300000000000002,75.9,75.9
0233-FTHAV,0,1,0,0,0,60,1,1,Fibra Óptica,0,0,1,0,0,0,Um ano,1,Transferência bancária,2.64,79.2,4765.0
0234-TEVTT,0,1,0,1,1,48,0,0,DSL,1,0,1,0,0,1,Um ano,0,Cartão de crédito,1.5,45.0,2196.3
0235-KGSLC,1,1,0,0,0,1,1,0,Fibra Óptica,0,0,1,0,1,0,Mensal,1,Cartão de crédito,2.8516666666666666,85.55,85.55
0236-HFWSV,1,0,0,0,0,15,1,1,Fibra Óptica,0,0,0,0,1,1,Mensal,1,Cheque eletrônico,3.1116666666666664,93.35,1444.65
0237-YFUTL,0,1,0,1,0,50,1,1,Fibra Óptica,1,1,0,1,1,1,Mensal,1,Transferência bancária,3.6550000000000002,109.65,5405.8
0238-WHBIQ,0,0,0,1,1,72,1,1,DSL,1,1,1,1,1,1,Dois anos,0,Cartão de crédito,2.99,89.7,6339.3
0239-OXEXL,0,1,0,0,0,46,1,1,Fibra Óptica,1,1,0,0,0,0,Mensal,0,Cheque,2.808333333333333,84.25,3847.6
0244-LGNFY,0,1,0,1,1,72,1,1,DSL,1,1,1,1,1,1,Dois anos,0,Transferência bancária,3.0883333333333334,92.65,6733.0
0247-SLUJI,0,0,0,1,1,1,1,0,Não,0,0,0,0,0,0,Mensal,0,Cheque,0.6566666666666666,19.7,19.7
0248-IPDFW,0,1,0,0,0,1,1,1,DSL,0,0,0,0,0,0,Mensal,1,Cheque eletrônico,1.6700000000000002,50.1,50.1
0248-PGHBZ,0,1,1,0,0,67,1,0,Fibra Óptica,1,1,0,1,1,0,Dois anos,1,Transferência bancária,3.0816666666666666,92.45,6140.85
0253-ZTEOB,0,1,0,1,1,48,1,1,DSL,0,1,0,1,1,1,Dois anos,0,Cheque eletrônico,2.6550000000000002,79.65,3870.3
0254-FNMCI,0,1,0,0,0,72,1,0,Fibra Óptica,1,1,1,1,1,1,Dois anos,1,Cheque eletrônico,3.6633333333333336,109.9,7624.2
0254-KCJGT,0,0,0,1,0,52,1,1,DSL,1,1,1,1,0,1,Um ano,1,Cartão de crédito,2.7133333333333334,81.4,4354.45
0254-WWRKD,0,1,0,1,1,67,1,0,DSL,0,1,0,0,0,0,Um ano,0,Cartão de crédito,1.6849999999999998,50.55,3431.75
0256-LTHVJ,1,1,0,1,1,28,1,0,Fibra Óptica,0,0,0,0,0,1,Mensal,1,Cheque eletrônico,2.7016666666666667,81.05,2227.1
0257-KXZGU,0,1,0,1,1,32,1,1,DSL,0,1,1,0,0,0,Mensal,0,Transferência bancária,2.0816666666666666,62.45,2045.55
0257-ZESQC,1,1,1,1,0,27,1,0,Fibra Óptica,1,0,0,0,0,0,Mensal,1,Transferência bancária,2.506666666666667,75.2,1929.35
0258-NOKBL,0,0,0,0,0,3,1,0,Fibra Óptica,0,1,1,0,0,1,Mensal,0,Cheque eletrônico,3.0133333333333336,90.4,268.45
0259-GBZSH,1,0,0,0,0,2,1,1,Fibra Óptica,0,0,0,0,1,0,Mensal,1,Cheque eletrônico,2.855,85.65,181.5
0260-ZDLGK,1,1,0,0,1,9,1,0,DSL,0,0,1,1,1,1,Mensal,1,Cheque,2.43,72.9,651.4
0263-FJTQO,0,0,0,1,1,50,1,1,DSL,1,0,0,1,1,0,Dois anos,1,Cartão de crédito,2.35,70.5,3486.65
0264-CNITK,0,1,0,1,1,71,1,0,Não,0,0,0,0,0,0,Dois anos,0,Transferência bancária,0.67,20.1,1389.6
0265-EDXBD,1,0,1,1,0,32,1,1,Fibra Óptica,0,0,0,0,0,0,Mensal,1,Cheque eletrônico,2.496666666666667,74.9,2303.35
0265-PSUAE,0,1,0,1,1,16,1,0,Fibra Óptica,1,0,1,0,1,1,Mensal,0,Transferência bancária,3.356666666666667,100.7,1522.7
0266-CLZKZ,0,1,0,1,1,67,1,1,Fibra Óptica,0,0,1,1,1,1,Dois anos,1,Transferência bancária,3.521666666666667,105.65,6717.9
0266-GMEAO,0,0,0,1,1,72,1,1,Fibra Óptica,1,1,1,1,1,1,Dois anos,1,Cartão de crédito,3.81,114.3,8058.55
0268-QKIWO,1,1,0,0,0,3,1,0,Não,0,0,0,0,0,0,Mensal,0,Cheque eletrônico,0.6583333333333333,19.75,58.85
0269-XFESX,0,0,0,1,1,23,1,1,Não,0,0,0,0,0,0,Um ano,0,Cheque,0.8116666666666668,24.35,538.5
0270-THENM,0,0,0,1,1,72,1,1,DSL,1,1,1,1,0,0,Dois anos,0,Transferência bancária,2.328333333333333,69.85,5102.35
0274-JKUJR,0,0,0,1,1,7,0,0,DSL,1,1,1,0,1,1,Mensal,0,Cheque,1.9616666666666667,58.85,465.7
0277-BKSQP,0,0,0,1,1,8,1,0,DSL,0,0,0,0,1,0,Mensal,1,Cheque eletrônico,1.8133333333333332,54.4,475.1
0277-ORXQS,0,0,0,1,1,66,0,0,DSL,0,0,0,1,1,1,Dois anos,0,Transferência bancária,1.6849999999999998,50.55,3364.55
0278-YXOOG,1,0,0,0,0,5,1,0,Não,0,0,0,0,0,0,Mensal,0,Cheque,0.7016666666666667,21.05,113.85
0280-XJGEX,1,0,0,0,0,49,1,1,Fibra Óptica,0,1,1,0,1,1,Mensal,1,Transferência bancária,3.4566666666666666,103.7,5036.3
0281-CNTZX,0,0,0,1,0,63,1,0,Não,0,0,0,0,0,0,Dois anos,1,Transferência bancária,0.6649999999999999,19.95,1234.8
0282-NVSJS,0,1,1,1,1,12,0,0,DSL,0,0,0,1,0,0,Mensal,1,Cheque,0.9766666666666667,29.3,355.9
0285-INHLN,0,0,0,1,1,27,1,0,DSL,1,1,0,0,0,0,Mensal,1,Cartão de crédito,1.825,54.75,1510.3
0289-IVARM,0,1,0,0,0,35,1,0,DSL,1,1,1,0,0,0,Mensal,0,Cheque eletrônico,2.018333333333333,60.55,1982.6
0292-WEGCH,0,1,0,1,1,54,1,1,DSL,0,1,1,1,1,1,Mensal,1,Cheque eletrônico,2.8733333333333335,86.2,4524.05
0295-PPHDO,1,0,0,0,0,1,1,1,Fibra Óptica,0,0,0,0,1,1,Mensal,1,Cheque eletrônico,3.1816666666666666,95.45,95.45
0295-QVKPB,0,0,0,0,0,5,1,0,DSL,0,0,1,1,1,0,Mensal,1,Cartão de crédito,2.131666666666667,63.95,318.1
